step,parameter_comb,strategy,prop_runs_prevA_above
7300,88,sequential,0
10000,88,sequential,0
730,89,sequential,0
1000,89,sequential,0
1825,89,sequential,0
3650,89,sequential,0
5000,89,sequential,0
7300,89,sequential,0
10000,89,sequential,0
730,90,sequential,0
1000,90,sequential,0
1825,90,sequential,0
3650,90,sequential,0.22
5000,90,sequential,0.47
7300,90,sequential,0.57
10000,90,sequential,0.59
730,91,sequential,0
1000,91,sequential,0
1825,91,sequential,0.13
3650,91,sequential,1
5000,91,sequential,1
7300,91,sequential,1
10000,91,sequential,1
730,92,sequential,0
1000,92,sequential,0
1825,92,sequential,0
3650,92,sequential,0
5000,92,sequential,0
7300,92,sequential,0.01
10000,92,sequential,0.02
730,93,sequential,0
1000,93,sequential,0
1825,93,sequential,0
3650,93,sequential,0
5000,93,sequential,0
7300,93,sequential,0
10000,93,sequential,0
730,94,sequential,0
1000,94,sequential,0
1825,94,sequential,0
3650,94,sequential,0.58
5000,94,sequential,0.67
7300,94,sequential,0.7
10000,94,sequential,0.71
730,95,sequential,0
1000,95,sequential,0
1825,95,sequential,0
3650,95,sequential,0
5000,95,sequential,0
7300,95,sequential,0
10000,95,sequential,0
730,96,sequential,0
1000,96,sequential,0
1825,96,sequential,0
3650,96,sequential,0
5000,96,sequential,0.01
7300,96,sequential,0.12
10000,96,sequential,0.41
730,97,sequential,0
1000,97,sequential,0
1825,97,sequential,0
3650,97,sequential,0
5000,97,sequential,0
7300,97,sequential,0
10000,97,sequential,0
730,98,sequential,0
1000,98,sequential,0
1825,98,sequential,0
3650,98,sequential,0
5000,98,sequential,0
7300,98,sequential,0
10000,98,sequential,0
730,99,sequential,0
1000,99,sequential,0
1825,99,sequential,0
3650,99,sequential,0
5000,99,sequential,0
7300,99,sequential,0
10000,99,sequential,0
730,100,sequential,0
1000,100,sequential,0
1825,100,sequential,0.21
3650,100,sequential,0.88
5000,100,sequential,0.97
7300,100,sequential,1
10000,100,sequential,1
730,101,sequential,0
1000,101,sequential,0
1825,101,sequential,0
3650,101,sequential,0
5000,101,sequential,0
7300,101,sequential,0
10000,101,sequential,0
730,102,sequential,0
1000,102,sequential,0
1825,102,sequential,0
3650,102,sequential,0
5000,102,sequential,0
7300,102,sequential,0
10000,102,sequential,0
730,103,sequential,0
1000,103,sequential,0
1825,103,sequential,0
3650,103,sequential,0
5000,103,sequential,0
7300,103,sequential,0
10000,103,sequential,0
730,104,sequential,0
1000,104,sequential,0
1825,104,sequential,0
3650,104,sequential,0
5000,104,sequential,0
7300,104,sequential,0.01
10000,104,sequential,0.02
730,105,sequential,0
1000,105,sequential,0
1825,105,sequential,0.02
3650,105,sequential,0.68
5000,105,sequential,0.85
7300,105,sequential,0.94
10000,105,sequential,0.99
730,106,sequential,0
1000,106,sequential,0
1825,106,sequential,0
3650,106,sequential,0
5000,106,sequential,0
7300,106,sequential,0
10000,106,sequential,0
730,107,sequential,0
1000,107,sequential,0
1825,107,sequential,0
3650,107,sequential,0
5000,107,sequential,0
7300,107,sequential,0
10000,107,sequential,0
730,108,sequential,0
1000,108,sequential,0
1825,108,sequential,0.06
3650,108,sequential,0.65
5000,108,sequential,0.67
7300,108,sequential,0.67
10000,108,sequential,0.67
730,109,sequential,0
1000,109,sequential,0
1825,109,sequential,0
3650,109,sequential,0
5000,109,sequential,0
7300,109,sequential,0
10000,109,sequential,0
730,110,sequential,0
1000,110,sequential,0
1825,110,sequential,0
3650,110,sequential,0
5000,110,sequential,0
7300,110,sequential,0
10000,110,sequential,0
730,111,sequential,0
1000,111,sequential,0
1825,111,sequential,0
3650,111,sequential,0.53
5000,111,sequential,0.64
7300,111,sequential,0.67
10000,111,sequential,0.69
730,112,sequential,0
1000,112,sequential,0
1825,112,sequential,0
3650,112,sequential,0
5000,112,sequential,0.09
7300,112,sequential,0.65
10000,112,sequential,0.96
730,113,sequential,0
1000,113,sequential,0
1825,113,sequential,0
3650,113,sequential,0.7
5000,113,sequential,0.93
7300,113,sequential,0.99
10000,113,sequential,0.99
730,114,sequential,0
1000,114,sequential,0
1825,114,sequential,0.04
3650,114,sequential,0.26
5000,114,sequential,0.31
7300,114,sequential,0.38
10000,114,sequential,0.46
730,115,sequential,0
1000,115,sequential,0
1825,115,sequential,0
3650,115,sequential,0
5000,115,sequential,0
7300,115,sequential,0
10000,115,sequential,0
730,116,sequential,0
1000,116,sequential,0
1825,116,sequential,0.49
3650,116,sequential,0.69
5000,116,sequential,0.69
7300,116,sequential,0.69
10000,116,sequential,0.71
730,117,sequential,0
1000,117,sequential,0
1825,117,sequential,0.01
3650,117,sequential,0.08
5000,117,sequential,0.18
7300,117,sequential,0.33
10000,117,sequential,0.43
730,118,sequential,0
1000,118,sequential,0
1825,118,sequential,0
3650,118,sequential,0.03
5000,118,sequential,0.16
7300,118,sequential,0.39
10000,118,sequential,0.45
730,119,sequential,0
1000,119,sequential,0
1825,119,sequential,0.11
3650,119,sequential,0.51
5000,119,sequential,0.63
7300,119,sequential,0.73
10000,119,sequential,0.88
730,120,sequential,0
1000,120,sequential,0.48
1825,120,sequential,1
3650,120,sequential,1
5000,120,sequential,1
7300,120,sequential,1
10000,120,sequential,1
730,121,sequential,0
1000,121,sequential,0
1825,121,sequential,0
3650,121,sequential,0
5000,121,sequential,0.03
7300,121,sequential,0.07
10000,121,sequential,0.07
730,122,sequential,0
1000,122,sequential,0
1825,122,sequential,0
3650,122,sequential,0
5000,122,sequential,0
7300,122,sequential,0
10000,122,sequential,0
730,123,sequential,0
1000,123,sequential,0
1825,123,sequential,0
3650,123,sequential,0
5000,123,sequential,0
7300,123,sequential,0
10000,123,sequential,0
730,124,sequential,0
1000,124,sequential,0
1825,124,sequential,0
3650,124,sequential,0
5000,124,sequential,0
7300,124,sequential,0
10000,124,sequential,0
730,125,sequential,0
1000,125,sequential,0
1825,125,sequential,0
3650,125,sequential,0
5000,125,sequential,0
7300,125,sequential,0
10000,125,sequential,0
730,126,sequential,0
1000,126,sequential,0
1825,126,sequential,0.42
3650,126,sequential,0.85
5000,126,sequential,0.86
7300,126,sequential,0.86
10000,126,sequential,0.86
730,127,sequential,0
1000,127,sequential,0
1825,127,sequential,0
3650,127,sequential,0
5000,127,sequential,0
7300,127,sequential,0
10000,127,sequential,0
730,128,sequential,0
1000,128,sequential,0
1825,128,sequential,0.01
3650,128,sequential,0.45
5000,128,sequential,0.52
7300,128,sequential,0.52
10000,128,sequential,0.54
730,129,sequential,0
1000,129,sequential,0.08
1825,129,sequential,1
3650,129,sequential,1
5000,129,sequential,1
7300,129,sequential,1
10000,129,sequential,1
730,130,sequential,0
1000,130,sequential,0
1825,130,sequential,0.7
3650,130,sequential,1
5000,130,sequential,1
7300,130,sequential,1
10000,130,sequential,1
730,131,sequential,0
1000,131,sequential,0
1825,131,sequential,0
3650,131,sequential,0
5000,131,sequential,0
7300,131,sequential,0
10000,131,sequential,0
730,132,sequential,0
1000,132,sequential,0
1825,132,sequential,0.79
3650,132,sequential,1
5000,132,sequential,1
7300,132,sequential,1
10000,132,sequential,1
730,133,sequential,0
1000,133,sequential,0
1825,133,sequential,0
3650,133,sequential,0
5000,133,sequential,0
7300,133,sequential,0
10000,133,sequential,0
730,134,sequential,0
1000,134,sequential,0
1825,134,sequential,0
3650,134,sequential,0
5000,134,sequential,0
7300,134,sequential,0
10000,134,sequential,0
730,135,sequential,0
1000,135,sequential,0
1825,135,sequential,0
3650,135,sequential,0
5000,135,sequential,0
7300,135,sequential,0
10000,135,sequential,0
730,136,sequential,0
1000,136,sequential,0
1825,136,sequential,0
3650,136,sequential,0
5000,136,sequential,0
7300,136,sequential,0
10000,136,sequential,0
730,137,sequential,0
1000,137,sequential,0
1825,137,sequential,0
3650,137,sequential,0
5000,137,sequential,0
7300,137,sequential,0
10000,137,sequential,0
730,138,sequential,0
1000,138,sequential,0
1825,138,sequential,0
3650,138,sequential,0
5000,138,sequential,0
7300,138,sequential,0
10000,138,sequential,0
730,139,sequential,0
1000,139,sequential,0
1825,139,sequential,0
3650,139,sequential,0
5000,139,sequential,0
7300,139,sequential,0
10000,139,sequential,0
730,140,sequential,0
1000,140,sequential,0
1825,140,sequential,0
3650,140,sequential,0.42
5000,140,sequential,0.68
7300,140,sequential,0.75
10000,140,sequential,0.77
730,141,sequential,0
1000,141,sequential,0
1825,141,sequential,0
3650,141,sequential,0
5000,141,sequential,0
7300,141,sequential,0
10000,141,sequential,0
730,142,sequential,0
1000,142,sequential,0
1825,142,sequential,0.82
3650,142,sequential,1
5000,142,sequential,1
7300,142,sequential,1
10000,142,sequential,1
730,143,sequential,0
1000,143,sequential,0
1825,143,sequential,0
3650,143,sequential,0.91
5000,143,sequential,0.99
7300,143,sequential,1
10000,143,sequential,1
730,144,sequential,0
1000,144,sequential,0
1825,144,sequential,0
3650,144,sequential,0
5000,144,sequential,0
7300,144,sequential,0
10000,144,sequential,0
730,145,sequential,0
1000,145,sequential,0
1825,145,sequential,0
3650,145,sequential,0.25
5000,145,sequential,0.46
7300,145,sequential,0.64
10000,145,sequential,0.7
730,146,sequential,0
1000,146,sequential,0
1825,146,sequential,0
3650,146,sequential,0
5000,146,sequential,0
7300,146,sequential,0
10000,146,sequential,0
730,147,sequential,0
1000,147,sequential,0
1825,147,sequential,0
3650,147,sequential,0
5000,147,sequential,0
7300,147,sequential,0
10000,147,sequential,0
730,148,sequential,0
1000,148,sequential,0
1825,148,sequential,0.06
3650,148,sequential,0.18
5000,148,sequential,0.25
7300,148,sequential,0.35
10000,148,sequential,0.44
730,149,sequential,0
1000,149,sequential,0
1825,149,sequential,0
3650,149,sequential,0.05
5000,149,sequential,0.22
7300,149,sequential,0.44
10000,149,sequential,0.51
730,150,sequential,0
1000,150,sequential,0
1825,150,sequential,0
3650,150,sequential,0
5000,150,sequential,0
7300,150,sequential,0
10000,150,sequential,0
730,151,sequential,0
1000,151,sequential,0
1825,151,sequential,0.05
3650,151,sequential,0.37
5000,151,sequential,0.48
7300,151,sequential,0.67
10000,151,sequential,0.78
730,152,sequential,0
1000,152,sequential,0
1825,152,sequential,0
3650,152,sequential,0
5000,152,sequential,0.01
7300,152,sequential,0.09
10000,152,sequential,0.23
730,153,sequential,0
1000,153,sequential,0
1825,153,sequential,0
3650,153,sequential,0
5000,153,sequential,0
7300,153,sequential,0
10000,153,sequential,0
730,154,sequential,0
1000,154,sequential,0
1825,154,sequential,0
3650,154,sequential,0
5000,154,sequential,0
7300,154,sequential,0
10000,154,sequential,0
730,155,sequential,0
1000,155,sequential,0
1825,155,sequential,0
3650,155,sequential,0.05
5000,155,sequential,0.32
7300,155,sequential,0.74
10000,155,sequential,0.96
730,156,sequential,0
1000,156,sequential,0.01
1825,156,sequential,0.34
3650,156,sequential,0.75
5000,156,sequential,0.75
7300,156,sequential,0.75
10000,156,sequential,0.75
730,157,sequential,0
1000,157,sequential,0
1825,157,sequential,0.03
3650,157,sequential,0.57
5000,157,sequential,0.61
7300,157,sequential,0.63
10000,157,sequential,0.64
730,158,sequential,0
1000,158,sequential,0
1825,158,sequential,0.01
3650,158,sequential,0.26
5000,158,sequential,0.34
7300,158,sequential,0.41
10000,158,sequential,0.56
730,159,sequential,0
1000,159,sequential,0
1825,159,sequential,0
3650,159,sequential,0
5000,159,sequential,0
7300,159,sequential,0
10000,159,sequential,0
730,160,sequential,0
1000,160,sequential,0
1825,160,sequential,0
3650,160,sequential,0.33
5000,160,sequential,0.62
7300,160,sequential,0.88
10000,160,sequential,0.96
730,161,sequential,0
1000,161,sequential,0
1825,161,sequential,0.14
3650,161,sequential,0.99
5000,161,sequential,1
7300,161,sequential,1
10000,161,sequential,1
730,162,sequential,0
1000,162,sequential,0
1825,162,sequential,0
3650,162,sequential,0
5000,162,sequential,0
7300,162,sequential,0
10000,162,sequential,0
730,163,sequential,0
1000,163,sequential,0
1825,163,sequential,0
3650,163,sequential,0
5000,163,sequential,0
7300,163,sequential,0
10000,163,sequential,0
730,164,sequential,0
1000,164,sequential,0
1825,164,sequential,0
3650,164,sequential,0
5000,164,sequential,0
7300,164,sequential,0
10000,164,sequential,0
730,165,sequential,0
1000,165,sequential,0
1825,165,sequential,0
3650,165,sequential,0
5000,165,sequential,0
7300,165,sequential,0
10000,165,sequential,0
730,166,sequential,0
1000,166,sequential,0
1825,166,sequential,0.11
3650,166,sequential,0.64
5000,166,sequential,0.68
7300,166,sequential,0.68
10000,166,sequential,0.71
730,167,sequential,0
1000,167,sequential,0
1825,167,sequential,0
3650,167,sequential,0
5000,167,sequential,0
7300,167,sequential,0
10000,167,sequential,0
730,168,sequential,0
1000,168,sequential,0
1825,168,sequential,0
3650,168,sequential,0
5000,168,sequential,0
7300,168,sequential,0
10000,168,sequential,0
730,169,sequential,0
1000,169,sequential,0
1825,169,sequential,0
3650,169,sequential,0
5000,169,sequential,0
7300,169,sequential,0
10000,169,sequential,0
730,170,sequential,0
1000,170,sequential,0
1825,170,sequential,0.05
3650,170,sequential,0.95
5000,170,sequential,0.99
7300,170,sequential,1
10000,170,sequential,1
730,171,sequential,0
1000,171,sequential,0
1825,171,sequential,0
3650,171,sequential,0
5000,171,sequential,0
7300,171,sequential,0
10000,171,sequential,0
730,172,sequential,0
1000,172,sequential,0
1825,172,sequential,0
3650,172,sequential,0
5000,172,sequential,0
7300,172,sequential,0
10000,172,sequential,0
730,173,sequential,0
1000,173,sequential,0
1825,173,sequential,0
3650,173,sequential,0
5000,173,sequential,0
7300,173,sequential,0
10000,173,sequential,0
730,174,sequential,0
1000,174,sequential,0.01
1825,174,sequential,0.84
3650,174,sequential,1
5000,174,sequential,1
7300,174,sequential,1
10000,174,sequential,1
730,175,sequential,0
1000,175,sequential,0
1825,175,sequential,0
3650,175,sequential,0
5000,175,sequential,0
7300,175,sequential,0
10000,175,sequential,0
730,176,sequential,0
1000,176,sequential,0
1825,176,sequential,0.39
3650,176,sequential,0.86
5000,176,sequential,0.88
