step,parameter_comb,strategy,prop_runs_prevC_above
7300,145,equal allocation,0
10000,145,equal allocation,0
730,146,equal allocation,0
1000,146,equal allocation,0
1825,146,equal allocation,0
3650,146,equal allocation,0
5000,146,equal allocation,0
7300,146,equal allocation,0
10000,146,equal allocation,0
730,147,equal allocation,0
1000,147,equal allocation,0
1825,147,equal allocation,0
3650,147,equal allocation,0.13
5000,147,equal allocation,0.9
7300,147,equal allocation,1
10000,147,equal allocation,1
730,148,equal allocation,0
1000,148,equal allocation,0
1825,148,equal allocation,0
3650,148,equal allocation,0.75
5000,148,equal allocation,1
7300,148,equal allocation,1
10000,148,equal allocation,1
730,149,equal allocation,0
1000,149,equal allocation,0
1825,149,equal allocation,0
3650,149,equal allocation,0.78
5000,149,equal allocation,0.99
7300,149,equal allocation,1
10000,149,equal allocation,1
730,150,equal allocation,0
1000,150,equal allocation,0
1825,150,equal allocation,0
3650,150,equal allocation,0
5000,150,equal allocation,0.02
7300,150,equal allocation,0.79
10000,150,equal allocation,1
730,151,equal allocation,0
1000,151,equal allocation,0
1825,151,equal allocation,0
3650,151,equal allocation,0
5000,151,equal allocation,0
7300,151,equal allocation,0
